iter	Passed	Remaining
855	1004	168
856	1005	167
857	1006	166
858	1007	165
859	1007	164
860	1008	162
861	1009	161
862	1010	160
863	1011	159
864	1011	157
865	1012	156
866	1013	155
867	1014	154
868	1015	153
869	1015	151
870	1017	150
871	1018	149
872	1019	148
873	1020	147
874	1021	145
875	1021	144
876	1022	143
877	1023	142
878	1024	141
879	1025	139
880	1026	138
881	1026	137
882	1027	136
883	1028	134
884	1029	133
885	1029	132
886	1030	131
887	1031	130
888	1032	128
889	1033	127
890	1034	126
891	1035	125
892	1035	124
893	1037	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1040	116
899	1041	115
900	1042	114
901	1043	113
902	1043	112
903	1044	110
904	1045	109
905	1046	108
906	1047	107
907	1048	106
908	1050	105
909	1050	103
910	1051	102
911	1052	101
912	1053	100
913	1054	99
914	1054	98
915	1055	96
916	1056	95
917	1057	94
918	1058	93
919	1058	92
920	1059	90
921	1060	89
922	1061	88
923	1062	87
924	1064	86
925	1065	85
926	1066	83
927	1067	82
928	1067	81
929	1068	80
930	1069	79
931	1070	78
932	1071	76
933	1072	75
934	1072	74
935	1073	73
936	1074	72
937	1075	71
938	1076	69
939	1077	68
940	1078	67
941	1079	66
942	1079	65
943	1080	64
944	1081	62
945	1082	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1085	55
951	1086	54
952	1087	53
953	1088	52
954	1089	51
955	1089	50
956	1091	49
957	1092	47
958	1093	46
959	1094	45
960	1095	44
961	1095	43
962	1096	42
963	1097	40
964	1098	39
965	1098	38
966	1099	37
967	1100	36
968	1101	35
969	1101	34
970	1102	32
971	1103	31
972	1104	30
973	1105	29
974	1106	28
975	1108	27
976	1109	26
977	1110	24
978	1111	23
979	1112	22
980	1113	21
981	1113	20
982	1114	19
983	1115	18
984	1116	16
985	1117	15
986	1117	14
987	1118	13
988	1119	12
989	1119	11
990	1121	10
991	1122	9
992	1122	7
993	1123	6
994	1124	5
995	1125	4
996	1125	3
997	1126	2
998	1127	1
999	1128	0
